  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4415                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     9.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -17.900  -1.4781   0.01651   0.01290  -0.1079   0.9910   0.0120
 -17.800  -1.4701   0.01633   0.01272  -0.1075   0.9893   0.0120
 -17.700  -1.4616   0.01615   0.01253  -0.1072   0.9876   0.0121
 -17.600  -1.4531   0.01598   0.01235  -0.1069   0.9858   0.0121
 -17.500  -1.4445   0.01581   0.01217  -0.1067   0.9838   0.0121
 -17.400  -1.4357   0.01565   0.01199  -0.1064   0.9819   0.0122
 -17.300  -1.4269   0.01549   0.01182  -0.1062   0.9810   0.0122
 -17.200  -1.4181   0.01533   0.01166  -0.1059   0.9796   0.0122
 -17.100  -1.4093   0.01518   0.01150  -0.1056   0.9780   0.0123
 -17.000  -1.4004   0.01503   0.01134  -0.1054   0.9761   0.0123
 -16.900  -1.3916   0.01488   0.01118  -0.1051   0.9741   0.0123
 -16.800  -1.3827   0.01474   0.01103  -0.1048   0.9719   0.0123
 -16.700  -1.3735   0.01460   0.01088  -0.1045   0.9694   0.0123
 -16.600  -1.3640   0.01446   0.01073  -0.1044   0.9685   0.0124
 -16.500  -1.3544   0.01432   0.01058  -0.1042   0.9674   0.0124
 -16.400  -1.3448   0.01419   0.01044  -0.1041   0.9659   0.0124
 -16.300  -1.3353   0.01405   0.01029  -0.1039   0.9641   0.0124
 -16.200  -1.3257   0.01392   0.01015  -0.1037   0.9621   0.0124
 -16.100  -1.3164   0.01378   0.00999  -0.1035   0.9598   0.0125
 -16.000  -1.3072   0.01362   0.00982  -0.1032   0.9572   0.0126
 -15.900  -1.2977   0.01347   0.00966  -0.1030   0.9551   0.0127
 -15.800  -1.2880   0.01330   0.00949  -0.1029   0.9541   0.0129
 -15.700  -1.2783   0.01315   0.00933  -0.1028   0.9527   0.0130
 -15.600  -1.2685   0.01300   0.00917  -0.1026   0.9510   0.0132
 -15.500  -1.2588   0.01285   0.00901  -0.1025   0.9490   0.0133
 -15.400  -1.2490   0.01271   0.00886  -0.1023   0.9467   0.0135
 -15.300  -1.2393   0.01257   0.00872  -0.1021   0.9441   0.0136
 -15.200  -1.2295   0.01244   0.00857  -0.1020   0.9411   0.0137
 -15.100  -1.2194   0.01230   0.00843  -0.1018   0.9396   0.0138
 -15.000  -1.2092   0.01217   0.00829  -0.1018   0.9384   0.0139
 -14.900  -1.1990   0.01204   0.00816  -0.1017   0.9368   0.0140
 -14.800  -1.1888   0.01192   0.00803  -0.1016   0.9349   0.0141
 -14.700  -1.1785   0.01180   0.00790  -0.1015   0.9326   0.0142
 -14.600  -1.1683   0.01169   0.00778  -0.1013   0.9299   0.0143
 -14.500  -1.1580   0.01158   0.00766  -0.1012   0.9268   0.0144
 -14.400  -1.1477   0.01148   0.00755  -0.1011   0.9240   0.0145
 -14.300  -1.1371   0.01137   0.00744  -0.1011   0.9229   0.0146
 -14.200  -1.1265   0.01127   0.00733  -0.1010   0.9213   0.0146
 -14.100  -1.1158   0.01117   0.00722  -0.1010   0.9193   0.0147
 -14.000  -1.1053   0.01107   0.00712  -0.1009   0.9169   0.0147
 -13.900  -1.0947   0.01098   0.00701  -0.1008   0.9140   0.0148
 -13.800  -1.0841   0.01090   0.00692  -0.1007   0.9107   0.0148
 -13.700  -1.0735   0.01081   0.00682  -0.1007   0.9073   0.0149
 -13.600  -1.0626   0.01072   0.00672  -0.1007   0.9059   0.0149
 -13.500  -1.0518   0.01063   0.00663  -0.1006   0.9039   0.0149
 -13.400  -1.0410   0.01055   0.00654  -0.1006   0.9009   0.0149
 -13.300  -1.0305   0.01045   0.00642  -0.1005   0.8972   0.0151
 -13.200  -1.0200   0.01035   0.00630  -0.1004   0.8922   0.0153
 -13.100  -1.0094   0.01025   0.00619  -0.1003   0.8892   0.0155
 -13.000  -0.9987   0.01015   0.00608  -0.1003   0.8863   0.0157
 -12.900  -0.9881   0.01005   0.00597  -0.1002   0.8819   0.0160
 -12.800  -0.9775   0.00996   0.00586  -0.1001   0.8764   0.0162
 -12.700  -0.9668   0.00987   0.00576  -0.1000   0.8720   0.0164
 -12.600  -0.9560   0.00977   0.00566  -0.1000   0.8691   0.0165
 -12.500  -0.9452   0.00968   0.00556  -0.1000   0.8649   0.0167
 -12.400  -0.9344   0.00960   0.00547  -0.0999   0.8604   0.0168
 -12.300  -0.9236   0.00953   0.00538  -0.0999   0.8556   0.0170
 -12.200  -0.9125   0.00944   0.00529  -0.0999   0.8540   0.0171
 -12.100  -0.9014   0.00936   0.00521  -0.0998   0.8521   0.0172
 -12.000  -0.8903   0.00929   0.00513  -0.0998   0.8497   0.0173
 -11.900  -0.8793   0.00922   0.00505  -0.0998   0.8469   0.0174
 -11.800  -0.8682   0.00915   0.00497  -0.0998   0.8437   0.0175
 -11.700  -0.8572   0.00909   0.00489  -0.0998   0.8399   0.0175
 -11.600  -0.8460   0.00902   0.00482  -0.0998   0.8372   0.0176
